"","NCT.Number","Recruitment","Conditions","Interventions","Sponsor.Collaborators","Phases","Enrollment","Funded.Bys","Study.Type","Start.Date","Completion.Date","country","start_year","Completion_year","start_month","Completion_month","duration","ROR"
"14","NCT02546232","Recruiting","Breast Cancer","Drug: Carboplatin|Drug: Paclitaxel","Oslo University Hospital","Phase 2","210","Other","Interventional","April 1, 2015","December 31, 2028","Norway","2015","2028","4","12","164","1.28048780487805"
"15","NCT02999477","Recruiting","Breast Cancer","Drug: Pembrolizumab|Drug: Nab-Paclitaxel|Procedure: Biopsy","Dana-Farber Cancer Institute","Phase 2","50","Other|Industry","Interventional","February 23, 2017","January 2023","United States of America","2017","2023","2","1","71","0.704225352112676"
"16","NCT02443428","Completed","Breast Cancer","NA","Eisai Limited","NA","77","Industry","Observational","August 2013","October 2015","United Kingdom","2013","2015","8","10","26","2.96153846153846"
"17","NCT02303145","Completed","Breast Cancer","NA","Tara Emrani","NA","187","Other","Observational","September 2014","February 2015","United States of America","2014","2015","9","2","5","37.4"
"18","NCT02949167","Recruiting","Breast Cancer","Behavioral: MyHealth","Danish Cancer Society","NA","494","Other","Interventional","November 2016","May 2021","Denmark","2016","2021","11","5","54","9.14814814814815"
"19","NCT02884284","Recruiting","Breast Cancer","Other: clinical biological database collection","Institut Claudius Regaud","NA","10000","Other","Observational","February 2015","December 2025","France","2015","2025","2","12","130","76.9230769230769"
"20","NCT01830933","Completed","Breast Cancer","Other: BreastCARE","University of California, San Francisco","NA","1235","Other","Interventional","June 2011","December 2012","United States of America","2011","2012","6","12","18","68.6111111111111"
"21","NCT02297230","Terminated","Breast Cancer","Radiation: Radiation Therapy (RT)|Drug: Capecitabine|Drug: Trastuzumab|Drug: Paclitaxel","New York University School of Medicine","Phase 1|Phase 2","44","Other","Interventional","June 2002","December 2, 2014","United States of America","2002","2014","6","12","150","0.293333333333333"
"22","NCT01750164","Terminated","Breast Cancer","NA","Dartmouth-Hitchcock Medical Center","NA","1","Other","Observational","December 2013","August 2014","United States of America","2013","2014","12","8","8","0.125"
"23","NCT02988648","Recruiting","Breast Cancer","Radiation: Radioiodide (131I-)","Yale University","Phase 1|Phase 2","37","Other","Interventional","December 2016","August 2019","United States of America","2016","2019","12","8","32","1.15625"
"24","NCT03180086","Recruiting","Breast Cancer","Other: Breast cancer risk report","Beth Israel Deaconess Medical Center","NA","445","Other","Interventional","July 1, 2017","July 1, 2021","United States of America","2017","2021","7","7","48","9.27083333333333"
"25","NCT02275871","Active, not recruiting","Breast Cancer","Other: MRI|Other: CESM","Beth Israel Deaconess Medical Center","NA","220","Other|Industry","Interventional","November 2014","January 2021","United States of America","2014","2021","11","1","74","2.97297297297297"
"26","NCT03243331","Not yet recruiting","Breast Cancer","Drug: Gedatolisib|Drug: PTK7-ADC","Kathy Miller","Phase 1","18","Other","Interventional","September 1, 2017","January 1, 2020","United States of America","2017","2020","9","1","28","0.642857142857143"
"27","NCT03093350","Not yet recruiting","Breast Cancer","Biological: TAA-specific CTLs","Baylor College of Medicine","Phase 2","22","Other|NIH","Interventional","August 1, 2017","August 1, 2024","United States of America","2017","2024","8","8","84","0.261904761904762"
"28","NCT03170648","Not yet recruiting","Breast Cancer","Device: Acupuncture","Dana-Farber Cancer Institute","NA","25","Other","Interventional","June 19, 2017","May 31, 2023","United States of America","2017","2023","6","5","71","0.352112676056338"
"29","NCT01224678","Active, not recruiting","Breast Cancer","Dietary Supplement: vitamin D|Other: placebo","Alliance for Clinical Trials in Oncology","Phase 3","250","Other|NIH","Interventional","October 2010","null","United States of America","2010","NA","10","NA","NA","NA"
"30","NCT02585388","Active, not recruiting","Breast Cancer","Drug: Vinorelbine|Drug: Letrozole|Drug: Anastrozole","ARCAGY/ GINECO GROUP","Phase 2","120","Other|Industry","Interventional","October 23, 2015","November 2018","France","2015","2018","10","11","37","3.24324324324324"
"31","NCT03078036","Recruiting","Breast Cancer","Genetic: Germline BRCA Test (blood)|Genetic: FoundationOne Dx Genomic Profile (archival Tumour Specimen)|Other: Follow-up","AstraZeneca","NA","197","Industry","Observational","March 13, 2017","October 31, 2019","United Kingdom","2017","2019","3","10","31","6.35483870967742"
"32","NCT03324425","Not yet recruiting","Breast Cancer","Drug: Simvastatin 40mg","Baylor Breast Care Center","Phase 2","34","Other","Interventional","December 2017","December 2025","United States of America","2017","2025","12","12","96","0.354166666666667"
"33","NCT02297698","Recruiting","Breast Cancer","Biological: NeuVax vaccine|Drug: Trastuzumab|Drug: GM-CSF","Cancer Insight, LLC","Phase 2","100","Industry","Interventional","October 2014","December 2020","United States of America","2014","2020","10","12","74","1.35135135135135"
"34","NCT03240510","Active, not recruiting","Breast Cancer","NA","Salah Azaïz Cancer Institute","NA","150","Other","Observational","January 1, 2014","January 1, 2018","Tunisia","2014","2018","1","1","48","3.125"
"35","NCT02200705","Recruiting","Breast Cancer","Device: Ice-Sense3TM","IceCure Medical Ltd.","NA","150","Industry","Interventional","October 2014","July 2021","United States of America","2014","2021","10","7","81","1.85185185185185"
"36","NCT01521676","Recruiting","Breast Cancer","Genetic: molecular alteration","Institut Paoli-Calmettes","NA","750","Other","Interventional","December 2010","December 2029","France","2010","2029","12","12","228","3.28947368421053"
"37","NCT02561832","Completed","Breast Cancer","Drug: Olaparib|Drug: Carboplatin|Drug: Anthracycline|Drug: Cyclophosphamide","AstraZeneca","Phase 1","20","Industry","Interventional","November 2015","February 2017","Spain","2015","2017","11","2","15","1.33333333333333"
"38","NCT02560662","Recruiting","Breast Cancer","Behavioral: Physical activity","Sahlgrenska University Hospital, Sweden","NA","340","Other","Interventional","October 2015","December 2018","Sweden","2015","2018","10","12","38","8.94736842105263"
"39","NCT03283553","Recruiting","Breast Cancer","Other: Checklist, MyChart, OpenNotes|Other: Usual Care","Sidney Kimmel Comprehensive Cancer Center","NA","70","Other","Interventional","July 20, 2017","November 2018","United States of America","2017","2018","7","11","16","4.375"
"40","NCT02657343","Recruiting","Breast Cancer","Drug: Ribociclib|Drug: T-DM1|Drug: Trastuzumab|Drug: Fulvestrant","Dana-Farber Cancer Institute","Phase 1|Phase 2","86","Other|Industry","Interventional","March 9, 2016","February 2023","United States of America","2016","2023","3","2","83","1.03614457831325"
"41","NCT02583568","Completed","Breast Cancer","Drug: Bevacizumab-800CW","University Medical Center Groningen","Phase 1|Phase 2","26","Other","Interventional","October 2015","February 2017","Netherlands","2015","2017","10","2","16","1.625"
"42","NCT01434420","Active, not recruiting","Breast Cancer","Genetic: BRCA1 BRCA2 PTEN PALB2 mutation","Institut Paoli-Calmettes","NA","200","Other","Interventional","March 2011","March 2020","France","2011","2020","3","3","108","1.85185185185185"
"43","NCT01320488","Suspended","Breast Cancer","NA","National Guard Health Affairs","NA","600","Other","Observational","October 2009","August 2016","Saudi Arabia","2009","2016","10","8","82","7.31707317073171"
"44","NCT02531932","Recruiting","Breast Cancer","Drug: Carboplatin|Drug: Everolimus","Amy Tiersten","Phase 2","72","Other|Industry","Interventional","August 2015","June 2018","United States of America","2015","2018","8","6","34","2.11764705882353"
"45","NCT02679755","Recruiting","Breast Cancer","Drug: Palbociclib|Drug: Letrozole","Pfizer","Phase 4","300","Industry","Interventional","March 9, 2016","July 2, 2019","India","2016","2019","3","7","40","7.5"
"46","NCT01646346","Active, not recruiting","Breast Cancer","Radiation: 4D Conformal Image-Guided Partial Breast RT","Yale University","NA","30","Other","Interventional","January 10, 2012","January 2018","United States of America","2012","2018","1","1","72","0.416666666666667"
"47","NCT03130439","Recruiting","Breast Cancer","Drug: Abemaciclib","Dana-Farber Cancer Institute","Phase 2","37","Other|Industry","Interventional","May 26, 2017","November 30, 2024","United States of America","2017","2024","5","11","90","0.411111111111111"
"48","NCT03165955","Recruiting","Breast Cancer","Drug: Oraxol","Kinex Pharmaceuticals Inc","Phase 1","24","Industry","Interventional","May 2017","June 2018","Taiwan","2017","2018","5","6","13","1.84615384615385"
"49","NCT02126800","Recruiting","Breast Cancer","NA","Royal Marsden NHS Foundation Trust","NA","60","Other","Observational","March 2014","March 2019","United Kingdom","2014","2019","3","3","60","1"
"50","NCT03314168","Recruiting","Breast Cancer","Other: Combined training|Other: Control group","Pedro Lopez da Cruz","NA","84","Other","Interventional","October 7, 2017","July 31, 2019","Brazil","2017","2019","10","7","21","4"
"51","NCT02769364","Completed","Breast Cancer","NA","Eisai Limited","NA","45","Industry","Observational","November 2013","June 2014","Spain","2013","2014","11","6","7","6.42857142857143"
"52","NCT01669148","Completed","Breast Cancer","Device: Tomosynthesis|Device: Conventional","Massachusetts General Hospital","NA","496","Other|Industry","Interventional","November 2007","October 2012","United States of America","2007","2012","11","10","59","8.40677966101695"
"53","NCT02833155","Recruiting","Breast Cancer","Drug: Entinostat|Drug: Exemestane","EddingPharm Oncology Co., LTD.","Phase 1","18","Industry","Interventional","July 2016","December 2019","China","2016","2019","7","12","41","0.439024390243902"
"54","NCT02336737","Completed","Breast Cancer","Device: SiennaXP|Drug: Technetium Tc99m Sulfur Colloid|Drug: Isosulfan blue dye","Endomagnetics Inc","NA","160","Industry|Other","Interventional","January 2015","December 2015","United States of America","2015","2015","1","12","11","14.5454545454545"
"55","NCT02523417","Completed","Breast Cancer","Procedure: interventional therapy","Fuda Cancer Hospital, Guangzhou","Phase 1|Phase 2","15","Other","Interventional","May 2015","February 2016","China","2015","2016","5","2","9","1.66666666666667"
"56","NCT01914614","Completed","Breast Cancer","NA","Robin Vanderpool","NA","22","Other|NIH","Observational","November 2013","April 2015","United States of America","2013","2015","11","4","17","1.29411764705882"
"57","NCT02764541","Recruiting","Breast Cancer","Drug: Letrozole|Drug: Tamoxifen|Drug: Palbociclib|Drug: Endocrine Therapy","Dana-Farber Cancer Institute","Phase 2","180","Other|Industry","Interventional","May 2016","November 2019","United States of America","2016","2019","5","11","42","4.28571428571429"
"58","NCT01662128","Recruiting","Breast Cancer","Drug: Xeloda","Tianjin Medical University","Phase 2|Phase 3","600","Other","Interventional","June 2012","June 2022","China","2012","2022","6","6","120","5"
"59","NCT02895178","Recruiting","Breast Cancer","Behavioral: Combined aerobic and strength exercise training","Wonju Severance Christian Hospital","NA","60","Other","Interventional","May 2014","December 2016","South Korea","2014","2016","5","12","31","1.93548387096774"
"60","NCT01257932","Completed","Breast Cancer","Device: Diffuse Optical Spectroscopy Imaging","University of California, Irvine","NA","60","Other","Observational","December 2010","October 2013","United States of America","2010","2013","12","10","34","1.76470588235294"
"61","NCT02266602","Recruiting","Breast Cancer","Radiation: Intraoperative Radiation Therapy","Benaroya Research Institute","NA","500","Other","Interventional","February 2012","February 2022","United States of America","2012","2022","2","2","120","4.16666666666667"
"62","NCT02617043","Recruiting","Breast Cancer","Radiation: hypofractionated whole breast irradiation with simultaneously integrated boost","Fudan University","Phase 2","200","Other","Interventional","April 2015","December 2017","China","2015","2017","4","12","32","6.25"
"63","NCT01399359","Completed","Breast Cancer","Behavioral: Counseling session|Other: Questionnaire 1|Other: Questionnaire 2|Other: online questionnaire","NSABP Foundation Inc","NA","1023","Other|NIH","Observational","August 2011","October 2014","United States of America","2011","2014","8","10","38","26.9210526315789"
"64","NCT02380209","Terminated","Breast Cancer","Other: CEST MRI","University of Arizona","Early Phase 1","8","Other","Interventional","August 2014","August 2016","United States of America","2014","2016","8","8","24","0.333333333333333"
"65","NCT02662868","Completed","Breast Cancer","NA","Latin American Cooperative Oncology Group","NA","767","Other|Industry","Observational","June 2015","December 2016","Brazil","2015","2016","6","12","18","42.6111111111111"
"66","NCT01994369","Active, not recruiting","Breast Cancer","Drug: EC17","University of Pennsylvania","Phase 1","10","Other","Interventional","May 2014","February 2018","United States of America","2014","2018","5","2","45","0.222222222222222"
"67","NCT02108561","Active, not recruiting","Breast Cancer","Other: Post Surgical Her2 testing","Anne Arundel Health System Research Institute","NA","110","Other|Industry","Observational","April 2014","December 2018","United States of America","2014","2018","4","12","56","1.96428571428571"
"68","NCT03385200","Recruiting","Breast Cancer","Drug: SonoVue","RWTH Aachen University","Phase 3","60","Other","Interventional","December 12, 2016","December 12, 2019","Germany","2016","2019","12","12","36","1.66666666666667"
"69","NCT03155997","Recruiting","Breast Cancer","Drug: Abemaciclib|Drug: Standard Adjuvant Endocrine Therapy","Eli Lilly and Company","Phase 3","3580","Industry|Other","Interventional","July 12, 2017","June 28, 2027","United Kingdom","2017","2027","7","6","119","30.0840336134454"
"70","NCT02050620","Completed","Breast Cancer","NA","Duke University","NA","45","Other","Observational","January 2014","December 2015","United States of America","2014","2015","1","12","23","1.95652173913043"
"71","NCT01277926","Terminated","Breast Cancer","NA","AstraZeneca","NA","7","Industry","Observational","April 2011","December 2012","Brazil","2011","2012","4","12","20","0.35"
"72","NCT01722968","Recruiting","Breast Cancer","Drug: Bevacizumab|Drug: Paclitaxel","Theodoros Foukakis","Phase 2","30","Other","Interventional","November 2012","December 2018","Sweden","2012","2018","11","12","73","0.410958904109589"
"73","NCT01432886","Completed","Breast Cancer","Drug: E7389","Eisai Co., Ltd.","Phase 1","12","Industry","Interventional","October 2011","December 2013","Japan","2011","2013","10","12","26","0.461538461538462"
"74","NCT02658084","Recruiting","Breast Cancer","Drug: Vinorelbine|Drug: Trastuzumab Emtansine","University of Miami","Phase 1|Phase 2","50","Other|Industry","Interventional","April 12, 2017","July 2022","United States of America","2017","2022","4","7","63","0.793650793650794"
"75","NCT02066025","Not yet recruiting","Breast Cancer","NA","Eventus Diagnostics Ltd","NA","1425","Industry","Observational","March 2014","March 2018","Israel","2014","2018","3","3","48","29.6875"
"76","NCT01090687","Completed","Breast Cancer","Radiation: computed tomography (CT scan)|Device: computed tomography (CT scan)","University of Rochester","Phase 1|Phase 2","150","Other|NIH","Observational","March 2010","November 2012","United States of America","2010","2012","3","11","32","4.6875"
"77","NCT01153282","Completed","Breast Cancer","NA","Abramson Cancer Center of the University of Pennsylvania","NA","30","Other","Observational","June 2010","May 2012","United States of America","2010","2012","6","5","23","1.30434782608696"
"78","NCT00897468","Active, not recruiting","Breast Cancer","Other: laboratory biomarker analysis|Other: medical chart review","Vanderbilt-Ingram Cancer Center","NA","26","Other|NIH","Observational","February 2007","March 2018","United States of America","2007","2018","2","3","133","0.195488721804511"
"79","NCT00898573","Withdrawn","Breast Cancer","Drug: lapatinib ditosylate|Genetic: fluorescence in situ hybridization|Genetic: gene expression analysis|Genetic: mutation analysis|Genetic: polymerase chain reaction|Genetic: reverse transcriptase-polymerase chain reaction|Other: cell sorting|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis","Case Comprehensive Cancer Center","Phase 1","0","Other|NIH","Observational","July 2008","null","United States of America","2008","NA","7","NA","NA","NA"
"80","NCT02947061","Recruiting","Breast Cancer","Drug: S1 plus Docetaxel|Drug: Capecitabine plus Docetaxel","Chinese Academy of Medical Sciences","Phase 2","300","Other","Interventional","April 2015","April 2019","China","2015","2019","4","4","48","6.25"
"81","NCT02916719","Not yet recruiting","Breast Cancer","Device: MRI","Brugmann University Hospital","NA","24","Other","Interventional","November 2016","October 2017","Belgium","2016","2017","11","10","11","2.18181818181818"
"82","NCT02379247","Active, not recruiting","Breast Cancer","Drug: BYL719|Drug: Nab-paclitaxel","Priyanka Sharma","Phase 1|Phase 2","44","Other|Industry","Interventional","February 2015","August 2018","United States of America","2015","2018","2","8","42","1.04761904761905"
"83","NCT00897962","Active, not recruiting","Breast Cancer","Other: Healthy Controls|Other: Metastatic Breast Cancer|Other: Non-cancer medical illness","University of California, Davis","NA","200","Other","Observational","September 2006","October 2018","United States of America","2006","2018","9","10","145","1.37931034482759"
"84","NCT00584753","Terminated","Breast Cancer","Radiation: Positron emission tomography and computed tomography","University of California, Davis","Phase 1","4","Other","Interventional","April 2007","July 2011","United States of America","2007","2011","4","7","51","0.0784313725490196"
"85","NCT01190345","Unknown status","Breast Cancer","Drug: bevacizumab|Drug: no bevacizumab","Institut Paoli-Calmettes","Phase 2","75","Other","Interventional","May 2010","May 2017","France","2010","2017","5","5","84","0.892857142857143"
"86","NCT02546934","Recruiting","Breast Cancer","Drug: ABX, cisplatin|Drug: Gemcitabine, Cisplatin","Fudan University","Phase 2","254","Other","Interventional","March 2016","March 2019","China","2016","2019","3","3","36","7.05555555555556"
"87","NCT02850939","Recruiting","Breast Cancer","Behavioral: Mobile phone app + patient navigation","The University of Texas Health Science Center at San Antonio","NA","120","Other","Interventional","August 2016","December 2018","United States of America","2016","2018","8","12","28","4.28571428571429"
"88","NCT02981485","Recruiting","Breast Cancer","Device: Fat Grafting","Peking Union Medical College","Phase 2","30","Other","Interventional","December 2016","January 2019","China","2016","2019","12","1","25","1.2"
"89","NCT02430103","Not yet recruiting","Breast Cancer","NA","Peking University People's Hospital","NA","240","Other","Observational","June 2015","June 2019","China","2015","2019","6","6","48","5"
"90","NCT01427933","Completed","Breast Cancer","Biological: Ramucirumab (IMC-1121B)|Drug: Eribulin","Eli Lilly and Company","Phase 2","141","Industry","Interventional","November 2011","June 2014","United States of America","2011","2014","11","6","31","4.54838709677419"
"91","NCT02783222","Completed","Breast Cancer","Drug: Nab-paclitaxel","Fondazione Sandro Pitigliani","Phase 2","160","Other","Interventional","January 30, 2013","December 2017","Italy","2013","2017","1","12","59","2.71186440677966"
"92","NCT01138384","Completed","Breast Cancer","Drug: Foretinib|Drug: Lapatinib","NCIC Clinical Trials Group","Phase 1|Phase 2","19","Other","Interventional","June 2010","February 2015","Canada","2010","2015","6","2","56","0.339285714285714"
"93","NCT03212170","Recruiting","Breast Cancer","Drug: [18F]Fluorofuranylnorprogesterone (FFNP) PET/MR Imaging","University of Wisconsin, Madison","Phase 2","28","Other|NIH","Interventional","July 15, 2017","January 1, 2020","United States of America","2017","2020","7","1","30","0.933333333333333"
"94","NCT01343849","Unknown status","Breast Cancer","NA","Eventus Diagnostics Ltd","NA","1000","Industry","Observational","September 2011","September 2012","Israel","2011","2012","9","9","12","83.3333333333333"
"95","NCT02073916","Recruiting","Breast Cancer","Drug: TDM1|Drug: Lapatinib|Drug: Abraxane","Jenny C. Chang, MD","Phase 1|Phase 2","45","Other","Interventional","October 2013","December 2017","United States of America","2013","2017","10","12","50","0.9"
"96","NCT01194869","Terminated","Breast Cancer","Drug: Sorafenib|Drug: Cisplatin|Drug: Paclitaxel","Emory University","Phase 2","25","Other|Industry","Interventional","June 2010","June 2015","United States of America","2010","2015","6","6","60","0.416666666666667"
"97","NCT01972048","Unknown status","Breast Cancer","Behavioral: mMammogram|Other: Print brochure","University of Minnesota - Clinical and Translational Science Institute","NA","149","Other","Interventional","January 2014","January 2016","United States of America","2014","2016","1","1","24","6.20833333333333"
"98","NCT00854789","Completed","Breast Cancer","Biological: E75 + GM-CSF vaccine","COL George Peoples, MD, FACS","Phase 1|Phase 2","95","U.S. Fed","Interventional","December 2002","March 2013","United States of America","2002","2013","12","3","123","0.772357723577236"
"99","NCT01111175","Completed","Breast Cancer","NA","US Oncology Research","NA","14","Industry|Other","Observational","May 2010","June 2013","United States of America","2010","2013","5","6","37","0.378378378378378"
"100","NCT01242800","Active, not recruiting","Breast Cancer","Procedure: palliative surgery|Procedure: therapeutic conventional surgery|Radiation: palliative radiation therapy|Radiation: radiation therapy","Eastern Cooperative Oncology Group","Phase 3","391","Other|NIH","Interventional","February 8, 2011","June 30, 2027","South Africa","2011","2027","2","6","196","1.99489795918367"
"101","NCT00766454","Completed","Breast Cancer","Genetic: DNA analysis|Genetic: mutation analysis|Genetic: polymorphism analysis|Other: laboratory biomarker analysis|Other: medical chart review|Other: questionnaire administration|Procedure: evaluation of cancer risk factors","Wake Forest University Health Sciences","NA","1104","Other|NIH","Observational","November 1998","January 2010","United States of America","1998","2010","11","1","134","8.23880597014925"
"102","NCT00896818","Unknown status","Breast Cancer","Genetic: DNA analysis|Genetic: genetic linkage analysis|Genetic: loss of heterozygosity analysis|Genetic: polymorphism analysis|Other: laboratory biomarker analysis|Other: medical chart review|Other: questionnaire administration","Cancer Research UK","NA","NA","Other","Observational","January 2005","null","United Kingdom","2005","NA","1","NA","NA","NA"
"103","NCT02244593","Recruiting","Breast Cancer","Other: FAST MRI and mammography screening","Ottawa Hospital Research Institute","NA","300","Other","Interventional","October 2014","June 2018","Canada","2014","2018","10","6","44","6.81818181818182"
"104","NCT01299623","Completed","Breast Cancer","Behavioral: Comparison of evidential versus non-evidential education on women's breast cancer prevention behaviors","University of Pennsylvania","NA","366","Other","Interventional","August 2010","May 2014","United States of America","2010","2014","8","5","45","8.13333333333333"
"105","NCT00912340","Completed","Breast Cancer","Drug: Everolimus|Biological: Trastuzumab","Emory University","Phase 2","58","Other|Industry","Interventional","May 2009","July 2017","United States of America","2009","2017","5","7","98","0.591836734693878"
"106","NCT00509509","Unknown status","Breast Cancer","NA","Organisation for Oncology and Translational Research","NA","NA","Other","Observational","null","null","China","NA","NA","NA","NA","NA","NA"
"107","NCT01591915","Enrolling by invitation","Breast Cancer","Other: MBSR","Skaraborg Hospital","NA","150","Other","Interventional","January 2010","December 2020","Sweden","2010","2020","1","12","131","1.14503816793893"
"108","NCT01339351","Completed","Breast Cancer","Behavioral: Therapeutic Group by Teleconference","University of South Carolina","NA","185","Other","Interventional","June 2005","August 2010","United States of America","2005","2010","6","8","62","2.98387096774194"
"109","NCT01014715","Active, not recruiting","Breast Cancer","Other: Phase II - Preoperative Radiation followed by Lumpectomy.","University of Maryland","NA","40","Other","Interventional","September 2009","December 2018","United States of America","2009","2018","9","12","111","0.36036036036036"
"110","NCT01866813","Completed","Breast Cancer","Behavioral: Cognitive training intervention group","University of Aarhus","NA","160","Other","Interventional","May 2013","January 2015","Denmark","2013","2015","5","1","20","8"
"111","NCT00873808","Withdrawn","Breast Cancer","Drug: clodronate disodium|Drug: demeclocycline hydrochloride|Drug: ibandronate sodium|Drug: tetracycline hydrochloride|Drug: zoledronic acid|Other: laboratory biomarker analysis|Procedure: adjuvant therapy|Procedure: computed tomography|Procedure: dual x-ray absorptiometry","Southwest Oncology Group","NA","0","Other|NIH","Observational","October 2008","February 2010","United States of America","2008","2010","10","2","16","0"
"112","NCT00898703","Completed","Breast Cancer","Other: flow cytometry|Other: immunoenzyme technique|Other: laboratory biomarker analysis","University of Arizona","NA","50","Other|NIH","Observational","August 2001","March 2007","United States of America","2001","2007","8","3","67","0.746268656716418"
"113","NCT02963740","Completed","Breast Cancer","Behavioral: Supervised Exercise|Behavioral: Home-based Exercise|Behavioral: Group Phone Calls|Behavioral: Diet","University of Kansas Medical Center","NA","11","Other","Interventional","November 2016","March 2017","United States of America","2016","2017","11","3","4","2.75"
"114","NCT00898131","Recruiting","Breast Cancer","NA","Northwestern University","NA","10000","Other|NIH","Observational","August 2001","January 2020","United States of America","2001","2020","8","1","221","45.2488687782805"
"115","NCT02688257","Active, not recruiting","Breast Cancer","Other: MRI|Other: Ultrasound","Institute of Cancer Research, United Kingdom","NA","53","Other","Observational","September 2010","December 2018","United Kingdom","2010","2018","9","12","99","0.535353535353535"
"116","NCT01818999","Terminated","Breast Cancer","Drug: IXABEPILONE|Radiation: STEREOTACTIC BODY RADIATION THERAPY","University of Texas Southwestern Medical Center","Phase 2","1","Other","Interventional","August 2013","December 2023","United States of America","2013","2023","8","12","124","0.00806451612903226"
"117","NCT00810797","Active, not recruiting","Breast Cancer","Drug: exemestane|Other: laboratory biomarker analysis|Procedure: quality-of-life assessment|Other: immunohistochemistry staining method","City of Hope Medical Center","Phase 2","36","Other|NIH","Interventional","December 2, 2008","July 2018","United States of America","2008","2018","12","7","115","0.31304347826087"
"118","NCT01661816","Completed","Breast Cancer","Behavioral: interview","Centre Oscar Lambret","NA","171","Other","Observational","April 2007","June 2008","France","2007","2008","4","6","14","12.2142857142857"
"119","NCT02341911","Recruiting","Breast Cancer","Drug: Gemcitabine,cisplatin|Drug: Gemcitabine,carboplatin","Fudan University","Phase 2","150","Other","Interventional","January 2015","December 2018","China","2015","2018","1","12","47","3.19148936170213"
"120","NCT01565499","Active, not recruiting","Breast Cancer","Drug: Nab-paclitaxel","Spanish Breast Cancer Research Group","Phase 2","78","Other|Industry","Interventional","June 2013","August 2019","Spain","2013","2019","6","8","74","1.05405405405405"
"121","NCT02798796","Recruiting","Breast Cancer","Device: MRI","University of Sao Paulo General Hospital","NA","372","Other","Interventional","November 2014","November 2016","Brazil","2014","2016","11","11","24","15.5"
